replica,file,start_day,end_day,sessions,unique_patients,cumplimiento,total_extra,days_extra,max_wait,avg_wait,util_chairs,util_chairs_reg,util_nurses,util_pharm,most_loaded_day,postponed_sessions,unattended
15,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-15.xlsx,,,13117,913,84.20370511549898,509.0,48,41,11.394419840566874,46.69232804232804,54.31728395061728,22.400793650793652,54.65726043503821,237,0,0
16,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-16.xlsx,,,12306,938,87.26637412644239,27.0,8,37,10.727712187412848,44.86878306878307,52.33858024691358,21.34325396825397,52.803057025279244,238,0,0
17,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-17.xlsx,,,12876,987,90.56383970177073,632.0,72,41,12.635711903967989,49.717460317460315,57.80864197530864,23.8015873015873,57.31216931216932,266,0,0
18,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-18.xlsx,,,12155,949,87.6840806252571,198.0,22,38,11.066003532583434,44.62222222222223,51.99814814814815,21.34325396825397,52.363315696649025,210,0,0
19,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-19.xlsx,,,14336,983,83.27985491071429,580.0,56,39,12.249816131404756,50.68783068783069,58.95679012345679,24.279761904761905,58.19400352733686,232,0,0
20,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-20.xlsx,,,13742,959,84.90758259350895,566.0,79,41,12.356350596280544,49.885714285714286,58.0253086419753,23.791666666666668,57.55790711346267,177,0,0
21,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-21.xlsx,,,13189,945,85.89733869133369,431.0,31,39,11.644712833434703,47.78650793650794,55.6179012345679,22.835317460317462,55.40270429159319,259,0,0
22,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-22.xlsx,,,11999,925,92.69105758813234,273.0,44,37,12.155964927818617,46.90688302046876,54.64024993813412,22.452672605790646,53.9187612684272,215,0,0
23,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-23.xlsx,,,13436,961,85.65049121762429,433.0,39,42,11.626331487004688,48.91137566137566,56.92962962962963,23.283730158730158,55.99882422104644,328,0,0
24,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-24.xlsx,,,11916,947,91.52400134273246,307.0,37,38,11.515414519482867,45.83148148148148,53.37530864197531,21.946428571428573,54.176366843033506,186,0,0
25,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-25.xlsx,,,12554,932,89.63676915724072,372.0,40,37,11.90250087443162,47.28968253968254,55.05648148148148,22.69047619047619,54.32804232804232,228,0,0
26,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-26.xlsx,,,12743,925,86.76920662324413,665.0,57,40,12.004229074889867,47.16164021164021,54.81666666666667,22.51984126984127,54.18812463256908,139,0,0
27,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-27.xlsx,,,12702,919,84.68745079515037,1199.0,72,41,12.022733351163412,46.584920634920636,53.97901234567901,22.255952380952383,53.70370370370371,258,0,0
28,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-28.xlsx,,,12127,967,92.45485280778428,862.0,71,39,12.429893607819393,48.2457671957672,56.020679012345674,22.938492063492063,56.03409758965314,192,0,0
29,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-29.xlsx,,,11722,933,93.87476539839618,382.0,42,38,11.884271671134941,46.56878306878307,54.212345679012344,22.202380952380953,54.313932980599645,228,0,0
30,C:\Users\ianma\OneDrive\Escritorio\Codigo Capstone\CapstoneG15\Analisis Sensibilidad\resultados_intradia\S0_base\solution_intradia-30.xlsx,,,13251,955,84.95962568862727,273.0,26,40,11.58165234169444,47.394973544973546,55.20987654320988,22.623015873015873,55.680188124632565,269,0,0
